Date,SIF_mean,phiF_mean,ONI
2014-09-01,0.4317205548286438,0.9238423855853523,0.1
2014-11-01,0.3884437084197998,0.6176412491200717,0.5
2014-12-01,0.5192642211914062,0.5454985702638543,0.5
2015-01-01,0.6015031337738037,0.6303716668240581,0.5
2015-02-01,0.5536431074142456,0.7173605299840764,0.5
2015-03-01,0.4710705280303955,0.737727205398502,0.5
2015-04-01,0.357863187789917,0.6076765256300671,0.5
2015-05-01,0.39604562520980835,0.7737991269455721,0.7
2015-06-01,0.5095842480659485,0.8237610122967713,0.9
2015-07-01,0.5825908184051514,1.0130048474850426,1.2
2015-08-01,0.5324552059173584,0.9616103873914993,1.5
2015-09-01,0.4083816111087799,0.8830880397050265,1.9
2015-10-01,0.32068732380867004,0.9199667496848514,2.2
2015-11-01,0.35215887427330017,0.5534512488199569,2.4
2015-12-01,0.47657713294029236,0.5155001847249823,2.5
2016-01-01,0.6379265785217285,0.6569003384742982,2.5
2016-02-01,0.5864662528038025,0.7885902460849414,2.5
2016-03-01,0.4595019817352295,0.7705045156934766,2.1
2016-04-01,0.3532571494579315,0.6710077891778115,1.6
2016-05-01,0.40095341205596924,0.7018569788387472,0.9
2016-06-01,0.5417147278785706,0.9189101636190202,0.4
2016-07-01,0.6353980898857117,1.070261879250305,-0.1
2016-08-01,0.5738771557807922,0.9919114947946548,-0.4
2016-09-01,0.4414941966533661,0.9227669785623737,-0.5
2016-10-01,0.36453941464424133,1.008091558443287,-0.6
2016-11-01,0.3685963749885559,0.5525909657464462,-0.7
2016-12-01,0.5583906769752502,0.5281464667552231,-0.3
2017-01-01,0.6749153733253479,0.6595232879350947,-0.3
2017-02-01,0.601030170917511,0.7363189302764456,-0.3
2017-03-01,0.48410552740097046,0.7636600555392846,-0.2
2017-04-01,0.3480328619480133,0.6106129661267273,0.1
2017-05-01,0.38750120997428894,0.7023491523487042,0.2
2017-06-01,0.5137492418289185,0.9163509973053005,0.3
2017-07-01,0.633216381072998,1.0269462969901677,0.3
2017-08-01,0.5844671726226807,1.0296266838139347,0.1
2017-09-01,0.43687957525253296,0.9429958363701483,-0.1
2017-10-01,0.3480610251426697,0.8718932919950094,-0.4
2017-11-01,0.38319993019104004,0.5505405625136015,-0.7
2017-12-01,0.46757039427757263,0.5304972551029619,-0.9
2018-01-01,0.6526326537132263,0.6576924993243937,-0.9
2018-02-01,0.7079355716705322,0.7348313228118066,-0.9
2018-03-01,0.5143832564353943,0.7136354370133442,-0.9
2018-04-01,0.3752051889896393,0.6422079709330565,-0.7
2018-05-01,0.4028592109680176,0.782666147488231,-0.5
2018-06-01,0.5255348682403564,0.8903554699135252,-0.2
2018-07-01,0.6795627474784851,1.0988031330264476,0.0
2018-08-01,0.5625040531158447,1.0249155539090937,0.1
2018-09-01,0.4307451546192169,0.9084691931469577,0.2
2018-10-01,0.3419121205806732,0.9063607812008353,0.5
2018-11-01,0.412278413772583,0.5880842591547563,0.8
2018-12-01,0.5193931460380554,0.536907898781018,0.7
2019-01-01,0.6158251762390137,0.5974689820822766,0.7
2019-02-01,0.67928546667099,0.7516405342149648,0.7
2019-03-01,0.4746769368648529,0.7923905722896817,0.7
2019-04-01,0.36973848938941956,0.7068348020852981,0.7
2019-05-01,0.377766489982605,0.7201708408995722,0.7
2019-06-01,0.5187036395072937,0.918959544057474,0.5
2019-07-01,0.6499174237251282,1.1111007960830437,0.5
2019-08-01,0.5712820887565613,1.0474870581430848,0.3
2019-09-01,0.44095319509506226,0.9450452253821134,0.1
2019-10-01,0.34929388761520386,0.9249420813190931,0.2
2019-11-01,0.36681056022644043,0.5730672656063076,0.3
2019-12-01,0.48873525857925415,0.5189792019484974,0.5
2020-01-01,0.6952679753303528,0.6537713351562601,0.5
2020-02-01,0.6632001996040344,0.717657428785439,0.5
2020-03-01,0.49822473526000977,0.7445022556574918,0.5
2020-04-01,0.3781284689903259,0.7729003393232154,0.4
